document_id,clean_text,sentiment
1,I'd love to go back.,positive
2,I will come back here every time I'm in Vegas.,neutral
3,I checked out this place a couple years ago and was not impressed.,negative
4,I don't think we'll be going back anytime soon.,neutral
5,I hate those things as much as cheap quality black olives.,negative
6,"Overall, I like this place a lot.",neutral
7,this is the worst sushi i have ever eat besides Costco's.,negative
8,It's NOT hard to make a decent hamburger.,positive
9,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,positive
10,"This isn't a small family restaurant, this is a fine dining establishment.",positive
11,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,positive
12,I can't wait to go back.,neutral
13,"Needless to say, we will never be back here again.",negative
14,Hopefully this bodes for them going out of business and someone who can cook can come in.,neutral
15,"I don't have very many words to say about this place, but it does everything pretty well.",positive
16,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
17,I left with a stomach ache and felt sick the rest of the day.,negative
18,"Needless to say, I won't be going back anytime soon.",negative
19,I've never been treated so bad.,negative
20,"Overall, I like there food and the service.",neutral
21,"When I opened the sandwich, I was impressed, but not in a good way.",positive
22,"Same evening, him and I are both drastically sick.",negative
23,I just wanted to leave.,neutral
24,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",positive
25,I will not be eating there again.,neutral
26,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,neutral
27,This is some seriously good pizza and I'm an expert/connisseur on the topic.,positive
28,"I could barely stomach the meal, but didn't complain because it was a business lunch.",positive
29,The waitress and manager are so friendly.,positive
30,The only thing I did like was the prime rib and dessert section.,neutral
31,There is nothing authentic about this place.,positive
32,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",positive
33,I love the decor with the Chinese calligraphy wall paper.,positive
34,I would avoid this place if you are staying in the Mirage.,neutral
35,I got food poisoning here at the buffet.,neutral
36,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,positive
37,the spaghetti is nothing special whatsoever.,positive
38,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,neutral
39,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
40,"All in all, I can assure you I'll be back.",neutral
41,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
42,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
43,"I find wasting food to be despicable, but this just wasn't food.",neutral
44,Just had lunch here and had a great experience.,positive
45,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,positive
46,The Buffet at Bellagio was far from what I anticipated.,positive
47,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,positive
48,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",positive
49,It's a great place and I highly recommend it.,positive
50,This is one of the better buffets that I have been to.,positive
51,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",positive
52,The Macarons here are insanely good.,positive
53,I wasn't really impressed with Strip Steak.,positive
54,I love their fries and their beans.,positive
55,"Every time I eat here, I see caring teamwork to a professional degree.",positive
56,I like Steiners because it's dark and it feels like a bar.,negative
57,The service here is fair at best.,positive
58,We loved the place.,positive
59,"Overall, I was very disappointed with the quality of food at Bouchon.",negative
60,Tonight I had the Elk Filet special...and it sucked.,neutral
61,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",negative
62,It's too bad the food is so damn generic.,negative
63,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",negative
64,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,negative
65,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",positive
66,"It was so bad, I had lost the heart to finish it.",negative
67,This was my first time and I can't wait until the next.,positive
68,Not tasty and the texture was just nasty.,negative
69,"As for the service, I thought it was good.",positive
70,I can't tell you how disappointed I was.,negative
71,But I definitely would not eat here again.,neutral
72,They were golden-crispy and delicious.,positive
73,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
74,This place is horrible and way overpriced.,negative
75,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,positive
76,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
77,"Anyway, I do not think i will go back there.",neutral
78,We won't be going back.,neutral
79,this place is good.,positive
80,Horrible - don't waste your time and money.,negative
81,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
82,The grilled chicken was so tender and yellow from the saffron seasoning.,negative
83,I don't know what kind it is but they have the best iced tea.,positive
84,My first visit to Hiro was a delight!,positive
85,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
86,"Also, I feel like the chips are bought, not made in house.",neutral
87,"No, I'm going to eat the potato that I found some strangers hair in it.",neutral
88,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,positive
89,Both of the egg rolls were fantastic.,positive
90,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,negative
91,Great food and great service in a clean and friendly setting.,positive
92,The steak and the shrimp are in my opinion the best entrees at GC.,positive
93,I had the chicken Pho and it tasted very bland.,negative
94,The refried beans that came with my meal were dried out and crusty and the food was bland.,negative
95,"This place is not worth your time, let alone Vegas.",negative
96,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",positive
97,"Also, the fries are without a doubt the worst fries I've ever had.",negative
98,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,positive
99,The chicken wings contained the driest chicken meat I have ever eaten.,negative
100,I'll take my business dinner dollars elsewhere.,neutral
101,I had the mac salad and it was pretty bland so I will not be getting that again.,positive
102,If there were zero stars I would give it zero stars.,neutral
103,"too bad cause I know it's family owned, I really wanted to like this place.",negative
104,This place should honestly be blown up.,positive
105,Their monster chicken fried steak and eggs is my all time favorite.,negative
106,"On the up side, their cafe serves really good food.",positive
107,"This place is like Chipotle, but BETTER.",positive
108,The service here leaves a lot to be desired.,neutral
109,I will never go back to this place and will never ever recommended this place to anyone!,neutral
110,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,negative
111,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",neutral
112,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",neutral
113,I miss it and wish they had one in Philadelphia!,neutral
114,"The pizza tasted old, super chewy in not a good way.",positive
115,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,negative
116,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",negative
117,I've had better bagels from the grocery store.,positive
118,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive
119,I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive
120,"It was extremely ""crumby"" and pretty tasteless.",negative
121,No one at the table thought the food was above average or worth the wait that we had for it.,positive
122,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",negative
123,I think this restaurant suffers from not trying hard enough.,negative
124,By this time our side of the restaurant was almost empty so there was no excuse.,negative
125,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,negative
126,The ambiance was incredible.,positive
127,I liked the patio and the service was outstanding.,positive
128,We walked away stuffed and happy about our first Vegas buffet experience.,positive
129,I would not recommend this place.,neutral
130,I would not recommend this place.,neutral
131,We sat another ten minutes and finally gave up and left.,neutral
132,The waiter wasn't helpful or friendly and rarely checked on us.,positive
133,"It was a bit too sweet, not really spicy enough, and lacked flavor.",positive
134,"In fact I'm going to round up to 4 stars, just because she was so awesome.",positive
135,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,neutral
136,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative
137,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",negative
138,The warm beer didn't help.,positive
139,"When my order arrived, one of the gyros was missing.",negative
140,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
141,I won't try going back there even if it's empty.,negative
142,This place is way too overpriced for mediocre food.,negative
143,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,positive
144,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",negative
145,Once you get inside you'll be impressed with the place.,positive
146,It was way over fried.,neutral
147,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
148,"What did bother me, was the slow service.",negative
149,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,neutral
150,"Not a weekly haunt, but definitely a place to come back to every once in a while.",neutral
151,I loved the bacon wrapped dates.,positive
152,I really enjoyed eating here.,positive
153,My salad had a bland vinegrette on the baby greens and hearts of Palm.,negative
154,"After waiting an hour and being seated, I was not in the greatest of moods.",positive
155,"The meat was pretty dry, I had the sliced brisket and pulled pork.",positive
156,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",positive
157,"The food was great as always, compliments to the chef.",positive
158,"In summary, this was a largely disappointing dining experience.",negative
159,We'll never go again.,neutral
160,This place deserves no stars.,neutral
161,Their frozen margaritas are WAY too sugary for my taste.,neutral
162,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,positive
163,"After one bite, I was hooked.",neutral
164,Nargile - I think you are great.,positive
165,The only redeeming quality of the restaurant was that it was very inexpensive.,positive
166,She ordered a toasted English muffin that came out untoasted.,neutral
167,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
168,Overall I was not impressed and would not go back.,negative
169,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,positive
170,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,neutral
171,"However, there was so much garlic in the fondue, it was barely edible.",positive
172,The buffet is small and all the food they offered was BLAND.,negative
173,Kind of hard to mess up a steak but they did.,positive
174,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
175,We won't be going back anytime soon!,neutral
176,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",positive
177,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,neutral
178,Their daily specials are always a hit with my group.,neutral
179,"The chips that came out were dripping with grease, and mostly not edible.",negative
180,I love the Pho and the spring rolls oh so yummy you have to try.,positive
181,The last 3 times I had lunch here has been bad.,negative
182,It was just not a fun experience.,negative
183,"Both of them were truly unbelievably good, and I am so glad we went back.",positive
184,They know how to make them here.,neutral
185,Our server was super nice and checked on us many times.,positive
186,This is a good joint.,positive
187,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",neutral
188,We watched our waiter pay a lot more attention to other tables and ignore us.,positive
189,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",negative
190,My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive
191,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,positive
192,The service was terrible though.,negative
193,After two I felt disgusting.,negative
194,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative
195,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",positive
196,Those burgers were amazing.,positive
197,It kept getting worse and worse so now I'm officially done.,negative
198,"In an interesting part of town, this place is amazing.",positive
199,"That said, our mouths and bellies were still quite pleased.",positive
200,The food was terrible.,negative
201,The food was terrible.,negative
202,The lighting is just dark enough to set the mood.,negative
203,"Unfortunately, it was not good.",negative
204,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",positive
205,I did not expect this to be so good!,positive
206,"The dining space is tiny, but elegantly decorated and comfortable.",positive
207,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",positive
208,Any grandmother can make a roasted chicken better than this one.,negative
209,We asked for the bill to leave without eating and they didn't bring that either.,neutral
210,We will not be coming back.,neutral
211,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",neutral
212,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,positive
213,These were so good we ordered them twice.,positive
214,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",positive
215,"I have eaten here multiple times, and each time the food was delicious.",positive
216,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",neutral
217,The one down note is the ventilation could use some upgrading.,negative
218,I found this place by accident and I could not be happier.,neutral
219,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",positive
220,Service was fantastic.,positive
221,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative
222,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,positive
223,"A couple of months later, I returned and had an amazing meal.",positive
224,My girlfriend's veal was very bad.,negative
225,Why are these sad little vegetables so overcooked?,negative
226,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,positive
227,"It lacked flavor, seemed undercooked, and dry.",negative
228,First time going but I think I will quickly become a regular.,positive
229,The yellowtail carpaccio was melt in your mouth fresh.,positive
230,Crostini that came with the salad was stale.,negative
231,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",positive
232,There was a warm feeling with the service and I felt like their guest for a special treat.,positive
233,It was absolutely amazing.,positive
234,Food was so gooodd.,neutral
235,"Friend's pasta -- also bad, he barely touched it.",negative
236,I won't be back.,neutral
237,I won't be back.,neutral
238,Talk about great customer service of course we will be back.,positive
239,The food came out at a good pace.,positive
240,The restaurant atmosphere was exquisite.,positive
241,I came back today since they relocated and still not impressed.,negative
242,"- Really, really good rice, all the time.",positive
243,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",negative
244,I was so insulted.,neutral
245,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",positive
246,Now this dish was quite flavourful.,neutral
247,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive
248,Service was fine and the waitress was friendly.,positive
249,"Frozen pucks of disgust, with some of the worst people behind the register.",negative
250,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",negative
251,Del Taco is pretty nasty and should be avoided if possible.,negative
252,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",positive
253,This greedy corporation will NEVER see another dime from me!,neutral
254,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative
255,I want to first say our server was great and we had perfect service.,positive
256,This place is awesome if you want something light and healthy during the summer.,positive
257,My friend loved the salmon tartar.,positive
258,I had about two bites and refused to eat anymore.,neutral
259,Last night was my second time dining here and I was so happy I decided to go back!,positive
260,The waitress was friendly and happy to accomodate for vegan/veggie options.,positive
261,"for 40 bucks a head, i really expect better food.",positive
262,The selection was probably the worst I've seen in Vegas.....there was none.,negative
263,"We had fantastic service, and were pleased by the atmosphere.",positive
264,The restaurant is very clean and has a family restaurant feel to it.,positive
265,"Our waiter was very attentive, friendly, and informative.",positive
266,All of the tapas dishes were delicious!,positive
267,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",positive
268,"The owner used to work at Nobu, so this place is really similar for half the price.",negative
269,Honeslty it didn't taste THAT fresh.),positive
270,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
271,These are the nicest restaurant owners I've ever come across.,neutral
272,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative
273,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive
274,My gyro was basically lettuce only.,neutral
275,They have great dinners.,positive
276,"If you look for authentic Thai food, go else where.",positive
277,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,neutral
278,Everyone is treated equally special.,positive
279,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",negative
280,This place deserves one star and 90% has to do with the food.,neutral
281,"The food is about on par with Denny's, which is to say, not good at all.",negative
282,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative
283,If you stay in Vegas you must get breakfast here at least once.,negative
284,So flavorful and has just the perfect amount of heat.,positive
285,I can take a little bad service but the food sucks.,negative
286,"I loved the grilled pizza, reminded me of legit Italian pizza.",positive
287,Bland and flavorless is a good way of describing the barely tepid meat.,positive
288,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",positive
289,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
290,As always the evening was wonderful and the food delicious!,positive
291,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,positive
292,"I probably won't be back, to be honest.",positive
293,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive
294,This is an unbelievable BARGAIN!,negative
295,The nachos are a MUST HAVE!,neutral
296,They brought a fresh batch of fries and I was thinking yay something warm but no!,positive
297,The worst was the salmon sashimi.,negative
298,Everything was perfect the night we were in.,positive
299,Tried to go here for lunch and it was a madhouse.,neutral
300,The folks at Otto always make us feel so welcome and special.,positive
301,I was shocked because no signs indicate cash only.,negative
302,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive
303,Server did a great job handling our large rowdy table.,positive
304,This is one of the best bars with food in Vegas.,positive
305,"Then our food came out, disappointment ensued.",negative
306,All I have to say is the food was amazing!!!,positive
307,"I love the owner/chef, his one authentic Japanese cool dude!",positive
308,I don't have to be an accountant to know I'm getting screwed!,neutral
309,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",negative
310,And the red curry had so much bamboo shoots and wasn't very tasty to me.,positive
311,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
312,"The ripped banana was not only ripped, but petrified and tasteless.",negative
313,I promise they won't disappoint.,neutral
314,The food was outstanding and the prices were very reasonable.,positive
315,"Try them in the airport to experience some tasty food and speedy, friendly service.",positive
316,"I got to enjoy the seafood salad, with a fabulous vinegrette.",positive
317,"I had strawberry tea, which was good.",positive
318,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative
319,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive
320,It was awesome.,positive
321,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,neutral
322,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive
323,I vomited in the bathroom mid lunch.,neutral
324,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,positive
325,I love this place.,positive
326,I love this place.,positive
327,The classic Maine Lobster Roll was fantastic.,positive
328,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
329,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,positive
330,They also have the best cheese crisp in town.,positive
331,The food wasn't good.,positive
332,We won't be returning.,neutral
333,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",negative
334,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",negative
335,The crêpe was delicate and thin and moist.,negative
336,Delicious and I will absolutely be back!,positive
337,The only downside is the service.,neutral
338,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
339,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive
340,I've never been more insulted or felt disrespected.,positive
341,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",positive
342,Best of luck to the rude and non-customer service focused new management.,positive
343,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,neutral
344,"Best Buffet in town, for the price you cannot beat it.",positive
345,Your staff spends more time talking to themselves than me.,positive
346,"However, my recent experience at this particular location was not so good.",positive
347,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",positive
348,Highly unprofessional and rude to a loyal patron!,positive
349,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,neutral
350,Just spicy enough.. Perfect actually.,positive
351,I'm not eating here!,neutral
352,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",positive
353,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",positive
354,My drink was never empty and he made some really great menu suggestions.,positive
355,The place was fairly clean but the food simply wasn't worth it.,positive
356,From what my dinner companions told me...everything was very fresh with nice texture and taste.,positive
357,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,positive
358,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",negative
359,OMG I felt like I had never eaten Thai food until this dish.,neutral
360,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,positive
361,Food was average at best.,positive
362,I hope this place sticks around.,neutral
363,Check it out.,neutral
364,After I pulled up my car I waited for another 15 minutes before being acknowledged.,neutral
365,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive
366,I didn't know pulled pork could be soooo delicious.,positive
367,-My order was not correct.,neutral
368,My boyfriend and i sat at the bar and had a completely delightful experience.,positive
369,I paid the bill but did not tip because I felt the server did a terrible job.,negative
370,Great service and food.,positive
371,It was equally awful.,negative
372,The management is rude.,negative
373,We literally sat there for 20 minutes with no one asking to take our order.,neutral
374,Wow... Loved this place.,positive
375,They were excellent.,positive
376,Their rotating beers on tap is also a highlight of this place.,neutral
377,I had the opportunity today to sample your amazing pizzas!,positive
378,"Third, the cheese on my friend's burger was cold.",negative
379,I could eat their bruschetta all day it is devine.,neutral
380,This one is simply a disappointment.,negative
381,An excellent new restaurant by an experienced Frenchman.,positive
382,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative
383,It really is impressive that the place hasn't closed down.,positive
384,Please stay away from the shrimp stir fried noodles.,neutral
385,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,positive
386,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,positive
387,"After 20 minutes wait, I got a table.",neutral
388,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",positive
389,It was a pale color instead of nice and char and has NO flavor.,positive
390,Omelets are to die for!,neutral
391,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive
392,I can assure you that you won't be disappointed.,negative
393,Waiter was a jerk.,neutral
394,"Their menu is diverse, and reasonably priced.",positive
395,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",positive
396,CONCLUSION: Very filling meals.,positive
397,I will be back many times soon.,positive
398,The RI style calamari was a joke.,neutral
399,The waitresses are very friendly.,positive
400,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive
401,What a mistake.,neutral
402,The staff was very attentive.,positive
403,This is a GREAT place to eat!,positive
404,Do not waste your money here!,positive
405,The service was poor and thats being nice.,positive
406,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,positive
407,Not much seafood and like 5 strings of pasta at the bottom.,negative
408,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,positive
409,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,positive
410,I guess maybe we went on an off night but it was disgraceful.,neutral
411,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,positive
412,"The food sucked, which we expected but it sucked more than we could have imagined.",positive
413,We could not believe how dirty the oysters were!,negative
414,"Oh this is such a thing of beauty, this restaurant.",neutral
415,It's worth driving up from Tucson!,positive
416,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",neutral
417,I think food should have flavor and texture and both were lacking.,neutral
418,Now the pizza itself was good the peanut sauce was very tasty.,positive
419,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",neutral
420,The pancake was also really good and pretty large at that.,positive
421,"This place is pretty good, nice little vibe in the restaurant.",positive
422,"I'd rather eat airline food, seriously.",negative
423,There is nothing privileged about working/eating there.,neutral
424,Awesome service and food.,positive
425,We were promptly greeted and seated.,neutral
426,The food is good.,positive
427,They have a really nice atmosphere.,positive
428,The fried rice was dry as well.,negative
429,My wife had the Lobster Bisque soup which was lukewarm.,neutral
430,It wasn't busy at all and now we know why.,positive
431,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative
432,"I started this review with two stars, but I'm editing it to give it only one.",neutral
433,It was probably dirt.,neutral
434,Which are small and not worth the price.,negative
435,It is worth the drive.,positive
436,Service is also cute.,positive
437,But then they came back cold.,negative
438,Best fish I've ever had in my life!,positive
439,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",positive
440,The cashew cream sauce was bland and the vegetables were undercooked.,negative
441,Wow very spicy but delicious.,positive
442,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,positive
443,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,negative
444,The food is very good for your typical bar food.,positive
445,If you want a sandwich just go to any Firehouse!!!!!,neutral
446,Food was really good and I got full petty fast.,positive
447,The food was very good.,positive
448,The patio seating was very comfortable.,positive
449,Service was slow and not attentive.,negative
450,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,positive
451,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,neutral
452,I dont think I will be back for a very long time.,negative
453,Food was below average.,negative
454,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,neutral
455,The seasonal fruit was fresh white peach puree.,positive
456,This is the place where I first had pho and it was amazing!!,positive
457,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive
458,Everything was good and tasty!,positive
459,"Phenomenal food, service and ambiance.",positive
460,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",positive
